Pclass,Sex,Age,SibSp,Parch,Fare,Survived
2,1,0.0125,2,1,0.07612293,1
3,0,0.05,0,2,0.042989937,1
3,0,0.3625,1,0,0.030253985,1
1,1,0.5625,0,0,0.051822149,1
2,0,0.4,0,0,0.02537431,1
3,0,0.2375,1,0,0.015330377,1
2,1,0.0375,1,1,0.05074862,1
1,0,0.55,0,0,0.054107398,1
1,0,0.725,0,0,0.285989555,1
3,0,0.3625,0,0,0.015126993,1
3,1,0.225,0,0,0.015712554,1
3,1,0.325,0,0,0.036670758,1
3,0,0.2,0,0,0.015126993,1
1,1,0.5,0,0,0.06050797,1
2,0,0.4375,0,0,0.04098927,1
1,0,0.3875,1,0,0.221098075,1
3,0,0.3375,0,0,0.01546857,1
1,0,0.4,0,0,0.148911481,1
3,1,0.2,0,0,0.015712554,1
1,1,0.475,1,0,0.175668301,1
2,1,0.2375,0,0,0.020494635,1
1,0,0.4375,1,0,0.162932349,1
3,0,0.0625,4,2,0.06126432,1
2,0,0.1,0,2,0.051236588,1
3,0,0.3625,1,0,0.030253985,1
2,0,0.3,0,2,0.028302115,1
1,1,0.4625,1,1,0.102578967,1
3,0,0.3625,0,2,0.02975782,1
1,0,0.3625,0,0,0.154588105,1
1,0,0.375,0,0,0.168836756,1
1,0,0.4375,0,0,1,1
2,0,0.625,0,1,0.05074862,1
3,1,0.0375,4,2,0.06126432,1
3,1,0.3125,1,0,0.015175789,1
1,0,0.725,0,1,0.299538851,1
1,0,0.4375,0,0,0.26473857,1
3,1,0.3125,0,0,0,1
2,0,0.5125,0,1,0.038061465,1
3,0,0.3625,0,0,0.015126993,1
1,0,0.7875,1,0,0.152164468,1
3,0,0.4375,1,1,0.039525368,1
3,1,0.2375,0,0,0.015712554,1
3,1,0.375,0,0,0.018542765,1
2,1,0.525,0,0,0.02537431,1
3,0,0.275,0,0,0.015126993,1
1,0,0.325,0,0,0.15390495,1
1,0,0.2375,1,0,0.177774759,1
1,1,0.3625,0,0,0.059532035,1
1,0,0.625,0,1,0.483128426,1
3,0,0.3625,0,0,0.015126993,1
3,1,0.3625,2,0,0.045380978,1
2,0,0.3625,0,0,0.024105595,1
1,1,0,1,2,0.2958059,1
1,0,0.3625,0,0,0.216429788,1
1,0,0.2125,1,0,0.212558644,1
1,0,0.375,0,0,0.111118398,1
1,0,0.3,0,0,0.162314192,1
1,0,0.225,2,2,0.512121894,1
3,0,0.325,0,0,0.015330377,1
2,0,0.3,1,0,0.05074862,1
1,0,0.3875,0,2,0.321798367,1
1,0,0.5,1,1,0.262526516,1
2,0,0.375,0,0,0.024105595,1
2,0,0.275,1,1,0.05660423,1
1,0,0.45,0,0,0.26473857,1
2,0,0.45,0,0,0.02537431,1
3,0,0.3875,1,1,0.040062132,1
1,0,0.2,0,1,0.113167862,1
3,0,0.3625,2,0,0.045380978,1
1,0,0.3625,1,0,0.260867427,1
1,0,0.5125,0,0,0.262526516,1
3,1,0.5625,0,0,0.015712554,1
2,1,0.025,1,1,0.05074862,1
1,0,0.3,3,2,0.513341812,1
2,0,0.3,0,0,0.02537431,1
2,0,0.5,0,0,0.02537431,1
3,0,0.3625,1,0,0.031425107,1
3,1,0.0375,1,1,0.031034733,1
1,0,0.275,0,1,0.10735285,1
3,0,0.3625,0,0,0.015379174,1
3,0,0.3625,0,0,0.015379174,1
1,0,0.75,1,0,0.146878218,1
3,0,0.3625,0,0,0.014110459,1
3,0,0.3625,0,0,0.015126993,1
1,0,0.3,0,0,0.135264592,1
1,1,0.3125,1,0,0.108214991,1
1,0,0.3625,1,0,0.16038672,1
3,0,0.275,0,0,0.014151058,1
1,0,0.525,0,0,0.444099224,1
3,0,0.0125,0,2,0.030725752,1
1,0,0.4375,1,0,0.10149724,1
2,0,0.45,0,0,0.02537431,1
2,0,0.2125,0,0,0.02342244,1
1,1,0.45,1,2,0.234224401,1
3,1,0.2625,0,0,0.015216388,1
1,0,0.2875,1,0,0.221098075,1
3,0,0.3,0,2,0.032596229,1
2,0,0.35,0,0,0.024691156,1
3,1,0.4875,0,0,0.01546857,1
2,1,0.0375,1,1,0.036597563,1
1,0,0.4125,1,0,0.175668301,1
3,1,0.55,0,0,0.01546857,1
2,0,0.425,1,1,0.063435775,1
2,0,0.225,0,2,0.02537431,1
2,0,0.35,1,0,0.05074862,1
2,0,0.2375,0,0,0.05074862,1
3,1,0.4,0,0,0.015712554,1
1,1,0.35,0,0,0.051822149,1
3,0,0.3625,1,0,0.031425107,1
2,0,0.525,1,0,0.05074862,1
1,0,0.175,1,2,0.234224401,1
2,0,0.3,2,3,0.036597563,1
2,0,0.5625,1,1,0.051236588,1
2,0,0.35,0,0,0.02537431,1
3,1,0.3625,0,0,0.015834545,1
1,1,0.05,0,2,0.159776761,1
2,0,0.1625,0,1,0.038061465,1
1,1,0.425,0,0,0.051822149,1
3,0,0.0625,2,1,0.037589698,1
1,1,0.65,0,0,0.059532035,1
1,1,0.6125,1,0,0.173919816,1
3,1,0.3625,0,0,0.015411575,1
1,0,0.3625,1,0,0.101228858,1
2,0,0.625,0,0,0.020494635,1
1,1,0.6,0,0,0.051822149,1
3,0,0,2,1,0.037589698,1
2,0,0.4125,1,2,0.054164393,1
2,0,0.2875,0,0,0.026919606,1
3,0,0.025,0,1,0.023983603,1
3,0,0.7875,0,0,0.018713554,1
1,1,0.3125,1,0,0.177774759,1
1,0,0.4375,1,0,0.175668301,1
3,1,0.1125,1,1,0.031034733,1
1,0,0.675,1,0,0.152766424,1
1,0,0.2,0,0,0.168836756,1
2,0,0.4125,0,2,0.05074862,1
1,1,0.3625,0,0,0.051822149,1
3,1,0.325,0,0,0.110272458,1
3,1,0.3625,0,0,0.015126993,1
1,1,0.45,0,0,0.051309783,1
1,0,0.675,1,0,0.115941079,1
2,0,0.425,0,0,0.020494635,1
2,0,0.45,1,0,0.05074862,1
1,0,0.375,0,0,0.182499846,1
1,0,0.55,0,1,0.113167862,1
2,0,0.625,0,0,0.020494635,1
2,0,0.025,1,1,0.05074862,1
3,0,0.3625,0,2,0.043640495,1
2,0,0.0875,0,2,0.051236588,1
1,0,0.375,0,0,0.207727766,1
1,0,0.275,0,2,0.096617565,1
1,0,0.45,0,2,0.138582771,1
2,1,0.4,1,0,0.05074862,1
2,0,0.2375,1,0,0.05074862,1
2,1,0.3625,0,0,0.027057798,1
2,1,0.1,1,1,0.071731223,1
1,1,0.2125,0,2,0.216429788,1
3,1,0.275,0,0,0.014102261,1
3,0,0.275,0,0,0.015175789,1
1,0,0.6,1,0,0.077294052,1
1,0,0.4875,1,1,0.155466446,1
3,0,0.45,1,0,0.033962538,1
3,1,0.4,0,0,0.015330377,1
2,1,0.775,0,0,0.020494635,1
1,0,0.6625,2,0,0.100480707,1
1,1,0.45,0,0,0.05150497,1
3,0,0.3625,0,0,0.015126993,1
2,0,0.425,0,0,0.02537431,1
1,0,0.4875,1,0,0.109109533,1
3,1,0.4,0,0,0.01546857,1
2,0,0.3125,1,1,0.0585561,1
1,0,0.4875,1,1,0.216429788,1
1,0,0.225,0,2,0.155466446,1
1,1,0.75,1,1,0.154588105,1
1,0,0.65,1,0,0.152766424,1
2,0,0.3625,0,0,0.06441171,1
1,1,0.6125,1,0,0.111118398,1
2,0,0.3,2,1,0.05270049,1
1,1,0.4375,0,0,0.051822149,1
1,1,0.3375,0,0,0.059532035,1
2,0,0.275,1,2,0.081157193,1
1,0,0.5,0,0,0.299538851,1
3,0,0.3625,1,0,0.030253985,1
2,0,0.3,1,2,0.126871551,1
2,0,0.05,2,1,0.07612293,1
1,1,0.525,1,0,0.102578967,1
3,1,0.25,1,1,0.030725752,1
1,0,0.2625,0,0,0.152164468,1
1,1,1,0,0,0.0585561,1
1,1,0.4,0,0,0.059532035,1
2,0,0.35,0,0,0.02537431,1
1,0,0.3,0,0,0.135264592,1
3,1,0.3625,0,0,0.110272458,1
3,0,0,2,1,0.037589698,1
1,1,0.6,1,0,0.149765424,1
1,1,0.7,0,0,0.069291385,1
3,0,0.2875,0,0,0.014736619,1
2,0,0.225,0,1,0.04489301,1
3,0,0.3625,0,0,0.015281581,1
1,1,0.625,2,0,0.260867427,1
3,1,0.25,1,0,0.01546857,1
1,0,0.3625,1,0,0.10149724,1
2,0,0.5,1,1,0.07612293,1
2,1,0.3875,0,0,0.02537431,1
3,0,0.225,0,0,0.019209719,1
1,1,0.45,0,1,1,1
1,1,0.3375,0,0,0.149765424,1
1,0,0.1875,0,1,0.412503328,1
1,1,0.3875,1,0,0.11125659,1
3,0,0.05,0,1,0.026187654,1
3,1,0.3625,0,0,0.110272458,1
3,0,0.3625,0,0,0.015094396,1
1,0,0.225,1,0,0.444099224,1
1,1,0.4375,0,0,0.051309783,1
2,0,0.5625,0,0,0.026350245,1
1,1,0.525,0,0,0.051309783,1
1,0,0.275,0,0,0.2958059,1
3,1,0.3625,1,1,0.02975782,1
1,0,0.3,0,0,0.096625763,1
1,1,0.6,1,0,0.10149724,1
1,0,0.475,0,0,0.444099224,1
2,0,0.3375,0,0,0.020494635,1
2,0,0.075,0,1,0.06441171,1
1,1,0.3375,1,0,0.103644297,1
2,0,0.375,3,0,0.04098927,1
3,0,0.3625,0,0,0.015102594,1
1,0,0.3625,0,0,0.412503328,1
1,1,0.4375,0,0,1,1
1,1,0.3625,0,0,0.0585561,1
1,0,0.2625,2,2,0.512121894,1
3,1,0.3875,0,0,0.01546857,1
2,0,0.375,0,0,0.02537431,1
2,0,0.05,1,1,0.04489301,1
3,1,0.075,0,1,0.024349578,1
2,0,0.6,1,2,0.126871551,1
2,1,0,1,1,0.028302115,1
1,0,0.4125,0,0,0.168836756,1
3,1,0.25,0,0,0.014110459,1
1,0,0.45,1,2,0.234224401,1
1,0,0.6375,1,0,0.152164468,1
2,0,0.675,1,3,0.04489301,1
3,0,0.0625,0,0,0.024349578,1
1,0,0.5375,0,1,0.412503328,1
3,0,0.1625,0,0,0.014110459,1
1,0,0.2125,1,0,0.11125659,1
3,0,0.225,0,0,0.014630827,1
3,1,0.0125,1,2,0.040159725,1
1,0,0.6125,0,0,0.050610428,1
3,0,0.3875,0,0,0.016948673,1
2,0,0.3875,1,1,0.051236588,1
1,1,0.1375,1,2,0.234224401,1
3,1,0,0,1,0.016623491,1
3,1,0.3375,0,0,0.013614293,1
1,0,0.4125,1,0,0.103644297,1
1,0,0.65,1,1,0.182499846,1
3,1,0.3375,0,0,0.016908074,1
3,0,0.3375,0,1,0.024349578,1
2,1,0.0125,0,2,0.072227388,1
3,1,0.3625,0,0,0.015126993,1
1,0,0.775,0,0,0.156149601,1
3,0,0.1875,1,0,0.028212719,1
2,1,0,1,1,0.036597563,1
1,0,0.4875,1,1,0.162314192,1
3,1,0.4,0,0,0.110272458,1
1,1,0.3625,0,0,0.057970539,1
1,0,0.375,0,0,0.06050797,1
1,0,0.3625,1,0,0.173919816,1
1,0,0.2,0,1,0.076903678,1
3,0,0.225,0,1,0.018249985,1
1,0,0.5625,1,1,0.321798367,1
1,1,0.6375,0,0,0.051822149,1
3,0,0.3,0,3,0.037589698,1
1,0,0.6,0,0,0.050610428,1
2,0,0.525,0,0,0.02537431,1
2,0,0.3375,1,0,0.0270496,1
3,1,0.05,1,1,0.021730754,1
1,0,0.5875,1,1,0.102578967,1
2,0,0.35,1,0,0.04684488,1
3,0,0.1875,0,0,0.014102261,1
1,0,0.7,0,1,0.162314192,1
2,0,0.3125,0,1,0.05074862,1
1,0,0.2375,0,0,0.0585561,1
1,1,0.325,0,0,0.0585561,1
